Date,ForwardRateUSDtoEUR,ForwardRateUSDtoEUR_low,ForwardRateUSDtoEUR_high,SpotRateUSDtoEUR,USDTreasuryRate,EUROBIR,TIME PERIOD,ECB_CISS
1999-01-01,,,,,,3.244,,
1999-01-04,0.8456659619450316,0.8380122349786306,0.8548469823901522,0.8465966813,4.38,3.234,,
1999-01-05,0.8502678343678259,0.8409014463504877,0.8522969402539845,0.8503401361,4.37,3.223,,
1999-01-06,0.8609556607834696,0.8446659346228567,0.8655760408551891,0.8594018563,4.36,3.215,,
1999-01-07,0.8542627712284298,0.8496176720475785,0.8612522607871845,0.8567511995,4.33,3.205,,
1999-01-08,0.8643042350907519,0.8519338899301414,0.8670019074041964,0.8655011252,4.37,3.195,08 Jan 1999,0.0941
1999-01-11,0.8695652173913044,0.8612522607871845,0.8703977717817042,0.8670019074,4.39,3.193,,
1999-01-12,0.8643789437289308,0.8640055296353897,0.873743993010048,0.865950814,4.37,3.19,,
1999-01-13,0.8570449091532396,0.8481044864727334,0.8658758334054896,0.8548469824,4.34,3.184,,
1999-01-14,0.8550662676357418,0.8525149190110827,0.861178091629349,0.8555051758,4.33,3.162,,
1999-01-15,0.8654262224145391,0.8509914049868096,0.8655760408551891,0.8627383315,4.33,3.135,15 Jan 1999,0.1963
1999-01-18,0.8609556607834696,0.8604371020478404,0.8652015919709293,#DIV/0!,,3.102,,
1999-01-19,0.8616232982939858,0.8588851670531651,0.8648274669203493,0.8613264427,4.29,3.057,,
1999-01-20,0.8650519031141869,0.8604371020478404,0.8667013347200555,0.8639308855,4.26,3.055,,
1999-01-21,0.8624407072013799,0.8605851979345955,0.8661758336942399,0.863781636,4.22,3.057,,
1999-01-22,0.8631851532153646,0.8599931200550395,0.865276455827637,0.8634087377,4.26,3.059,22 Jan 1999,0.1876
1999-01-25,0.8659508139937652,0.8611039352449841,0.8659508139937652,0.8646031472,4.31,3.068,,
1999-01-26,0.8653513326410524,0.8635578583765113,0.8658758334054896,0.863781636,4.35,3.08,,
1999-01-27,0.8742787200559539,0.8646031471554556,0.8764241893076249,0.8710042679,4.36,3.08,,
1999-01-28,0.8758868354208637,0.8700191404210893,0.878966335589347,0.877577885,4.38,3.076,,
1999-01-29,0.8800492827598345,0.8746610688358262,0.8819119851838787,0.8794301293,4.37,3.074,29 Jan 1999,0.1489
1999-02-01,0.8847991505928153,0.8772699359592947,0.8862105636299185,0.8847208706,4.42,3.078,,
1999-02-02,0.8812125484666902,0.8797395970792645,0.8861320336730172,0.8827683616,4.42,3.092,,
1999-02-03,0.8847208705653365,0.8799718409010912,0.8852691218130312,0.8819119852,4.37,3.098,,
1999-02-04,0.8823010411152286,0.8811349017534584,0.8890469416785206,0.8844861136,4.38,3.105,,
1999-02-05,0.8877052818464269,0.8792754770069463,0.8888888888888888,0.8862891075,4.39,3.107,05 Feb 1999,0.1746
1999-02-08,0.8833141948591113,0.8825346394845998,0.891583452211127,0.8852691218,4.4,3.113,,
1999-02-09,0.8846426043878273,0.8812902088657795,0.8866820358219543,0.8849557522,4.42,3.111,,
1999-02-10,0.8830022075055187,0.8800492827598345,0.8873901854645487,0.8825346395,4.37,3.11,,
1999-02-11,0.8921402444464269,0.8819897689186806,0.891981090000892,0.8847208706,4.39,3.105,,
1999-02-12,0.8846426043878273,0.8844078889183691,0.8919015340706387,0.8863676653,4.43,3.1,12 Feb 1999,0.2126
1999-02-15,0.8911067545891997,0.8845643520566121,0.8913450396648543,#DIV/0!,,3.1,,
1999-02-16,0.8928571428571428,0.8896005693443643,0.8962179602079227,0.8937349182,4.41,3.092,,
1999-02-17,0.8893632159373888,0.8874689385871495,0.8930963650977941,0.8904719501,4.41,3.086,,
1999-02-18,0.8930166101089481,0.8864462370357237,0.8941344778254648,0.8910273545,4.42,3.078,,
1999-02-19,0.9030160736861117,0.8918219923303309,0.9047317470370035,0.9029345372,4.45,3.076,19 Feb 1999,0.2173
1999-02-22,0.9064539521392314,0.9027715085311908,0.9119095385737734,0.9060433089,4.5,3.074,,
1999-02-23,0.9085953116481919,0.9022827754218171,0.9141603437242891,0.9096697899,4.54,3.076,,
1999-02-24,0.9092562284051645,0.9050592813829306,0.9153318077803203,0.911410864,4.55,3.078,,
1999-02-25,0.9057971014492753,0.902445627650934,0.9107468123861566,0.9035056017,4.51,3.088,,
1999-02-26,0.9071940488070398,0.9052231375033946,0.9131586156515387,0.9095043201,4.55,3.098,26 Feb 1999,0.2
1999-03-01,0.9186954524575103,0.9069472156720478,0.9188642837452908,0.9181893306,4.58,3.1,,
1999-03-02,0.9147457006952068,0.9119927040583675,0.9213193292795283,0.9148293843,4.53,3.115,,
1999-03-03,0.9191176470588235,0.9133254178463787,0.9196247930844216,0.9184423218,4.49,3.111,,
1999-03-04,0.9253261774775609,0.9188642837452908,0.9268699601445918,0.9238728751,4.49,3.111,,
1999-03-05,0.9232757824762257,0.9202171712524155,0.9272997032640949,0.9222539887,4.5,3.104,05 Mar 1999,0.1665
1999-03-08,0.9191176470588235,0.9151642719868216,0.9259259259259258,0.9175153684,4.51,3.094,,
1999-03-09,0.9186954524575103,0.9155832265152902,0.9211495946941785,0.9197093718,4.47,3.088,,
1999-03-10,0.9139097057210747,0.91082976591675,0.9196247930844216,0.9123255177,4.47,3.08,,
1999-03-11,0.9067827348567283,0.9040773890245004,0.9261831990367694,0.9147457007,4.49,3.074,,
1999-03-12,0.9168423947923352,0.9052231375033946,0.918189330639978,0.9144111192,4.47,3.047,12 Mar 1999,0.155
1999-03-15,0.9140767824497257,0.9122422915526364,0.9187798603454612,0.9149130833,4.46,3.04,,
1999-03-16,0.9103322712790168,0.9085953116481919,0.9248127254231019,0.9161704077,4.43,3.035,,
1999-03-17,0.9091735612328392,0.9052231375033946,0.9143275121148396,0.9078529278,4.41,3.037,,
1999-03-18,0.9111617312072894,0.9032607713846987,0.9127418765972983,0.9099181074,4.39,3.031,,
1999-03-19,0.9176837661741765,0.9087604507451835,0.9194556822361163,0.9154994049,4.39,3.027,19 Mar 1999,0.0762
1999-03-22,0.9170105456212746,0.9156670634557275,0.9220839096357768,0.9161704077,4.4,3.02,,
1999-03-23,0.9165902841429882,0.9149130832570906,0.9211495946941785,0.9159186664,4.38,3.02,,
1999-03-24,0.9191176470588235,0.9120758847136081,0.9192866335723477,0.9156670635,4.38,3.014,,
1999-03-25,0.9233610341643583,0.9165062780680048,0.9237021984112322,0.919878576,4.39,2.998,,
1999-03-26,0.9288500835965076,0.9200478424878094,0.9334453467749464,0.9308386857,4.39,2.99,26 Mar 1999,0.1233
1999-03-29,0.9319664492078286,0.9266981744045965,0.9362419249133975,0.9331840239,4.39,2.984,,
1999-03-30,0.9330098899048329,0.9276437847866419,0.9348415443582312,0.9317927693,4.36,2.98,,
1999-03-31,0.9289363678588016,0.9237875288683602,0.9354536950420954,0.9252405625,4.37,2.97,,
1999-04-01,0.9265264523302141,0.9241290084095739,0.9324878776575904,0.9274717121,4.32,2.941,,
