"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2018","1.1705","1.1669","1.1717","1.1629","","0.35%"
"03/06/2018","1.1664","1.1595","1.1677","1.1591","","0.62%"
"03/05/2018","1.1592","1.1563","1.1603","1.1508","","0.34%"
"03/02/2018","1.1553","1.1555","1.1564","1.1494","","0.01%"
"03/01/2018","1.1552","1.1519","1.1564","1.1511","","0.33%"
"02/28/2018","1.1514","1.1487","1.1536","1.1482","","0.28%"
"02/27/2018","1.1482","1.1555","1.1565","1.1482","","-0.59%"
"02/26/2018","1.1550","1.1521","1.1559","1.1494","","0.31%"
"02/23/2018","1.1514","1.1501","1.1526","1.1489","","0.15%"
"02/22/2018","1.1497","1.1533","1.1547","1.1497","","-0.29%"
"02/21/2018","1.1530","1.1550","1.1564","1.1530","","-0.14%"
"02/20/2018","1.1546","1.1529","1.1561","1.1515","","0.18%"
"02/19/2018","1.1525","1.1513","1.1540","1.1502","","0.17%"
"02/16/2018","1.1506","1.1532","1.1550","1.1503","","-0.19%"
"02/15/2018","1.1528","1.1568","1.1582","1.1516","","-0.30%"
"02/14/2018","1.1563","1.1547","1.1588","1.1492","","0.18%"
"02/13/2018","1.1542","1.1547","1.1565","1.1506","","0.01%"
"02/12/2018","1.1541","1.1520","1.1552","1.1485","","0.37%"
"02/09/2018","1.1498","1.1462","1.1531","1.1449","","0.34%"
"02/08/2018","1.1459","1.1572","1.1598","1.1448","","-0.96%"
"02/07/2018","1.1570","1.1584","1.1622","1.1557","","-0.09%"
"02/06/2018","1.1581","1.1521","1.1631","1.1512","","0.54%"
"02/05/2018","1.1519","1.1601","1.1644","1.1507","","-0.70%"
"02/02/2018","1.1600","1.1590","1.1625","1.1577","","0.13%"
"02/01/2018","1.1585","1.1563","1.1611","1.1548","","0.16%"
"01/31/2018","1.1566","1.1587","1.1641","1.1543","","-0.15%"
"01/30/2018","1.1583","1.1610","1.1623","1.1567","","-0.19%"
"01/29/2018","1.1605","1.1603","1.1640","1.1538","","0.10%"
"01/26/2018","1.1593","1.1665","1.1688","1.1587","","-0.59%"
"01/25/2018","1.1662","1.1730","1.1741","1.1625","","-0.54%"
"01/24/2018","1.1725","1.1778","1.1785","1.1684","","-0.43%"
"01/23/2018","1.1776","1.1795","1.1802","1.1765","","-0.11%"
"01/22/2018","1.1789","1.1813","1.1820","1.1750","","0.20%"
"01/19/2018","1.1765","1.1737","1.1776","1.1710","","0.28%"
"01/18/2018","1.1732","1.1767","1.1778","1.1726","","-0.26%"
"01/17/2018","1.1763","1.1764","1.1809","1.1751","","0.02%"
"01/16/2018","1.1761","1.1811","1.1832","1.1759","","-0.38%"
"01/15/2018","1.1806","1.1810","1.1835","1.1782","","0.09%"
"01/12/2018","1.1795","1.1743","1.1807","1.1738","","0.48%"
"01/11/2018","1.1739","1.1692","1.1759","1.1685","","0.48%"
"01/10/2018","1.1683","1.1738","1.1751","1.1685","","-0.43%"
"01/09/2018","1.1734","1.1694","1.1743","1.1688","","0.38%"
"01/08/2018","1.1689","1.1731","1.1749","1.1683","","-0.32%"
"01/05/2018","1.1727","1.1761","1.1789","1.1730","","-0.26%"
"01/04/2018","1.1758","1.1738","1.1779","1.1732","","0.20%"
"01/03/2018","1.1734","1.1715","1.1769","1.1700","","0.19%"
"01/02/2018","1.1712","1.1706","1.1732","1.1690","","0.11%"
"01/01/2018","1.1699","1.1694","1.1707","1.1689","","0.09%"
"12/29/2017","1.1688","1.1688","1.1728","1.1669","","0.04%"
"12/28/2017","1.1683","1.1726","1.1740","1.1679","","-0.32%"
"12/27/2017","1.1721","1.1729","1.1780","1.1722","","-0.04%"
"12/26/2017","1.1726","1.1732","1.1757","1.1725","","-0.03%"
"12/25/2017","1.1730","1.1722","1.1747","1.1707","","0.02%"
"12/22/2017","1.1728","1.1736","1.1749","1.1694","","-0.05%"
"12/21/2017","1.1734","1.1718","1.1753","1.1696","","0.15%"
"12/20/2017","1.1717","1.1660","1.1723","1.1654","","0.52%"
"12/19/2017","1.1656","1.1614","1.1680","1.1608","","0.40%"
"12/18/2017","1.1610","1.1644","1.1671","1.1609","","-0.24%"
"12/15/2017","1.1638","1.1651","1.1690","1.1637","","-0.08%"
"12/14/2017","1.1647","1.1654","1.1708","1.1635","","-0.04%"
"12/13/2017","1.1652","1.1644","1.1671","1.1620","","0.10%"
"12/12/2017","1.1640","1.1674","1.1688","1.1623","","-0.25%"
"12/11/2017","1.1669","1.1683","1.1701","1.1669","","-0.09%"
"12/08/2017","1.1679","1.1707","1.1724","1.1673","","-0.21%"
"12/07/2017","1.1703","1.1677","1.1720","1.1669","","0.26%"
"12/06/2017","1.1673","1.1677","1.1703","1.1656","","0.00%"
"12/05/2017","1.1673","1.1688","1.1707","1.1658","","-0.09%"
"12/04/2017","1.1684","1.1602","1.1696","1.1585","","0.66%"
"12/01/2017","1.1607","1.1709","1.1740","1.1597","","-0.83%"
"11/30/2017","1.1704","1.1668","1.1719","1.1647","","0.36%"
"11/29/2017","1.1662","1.1654","1.1685","1.1648","","0.09%"
"11/28/2017","1.1651","1.1679","1.1702","1.1644","","-0.21%"
"11/27/2017","1.1675","1.1691","1.1727","1.1671","","-0.10%"
"11/24/2017","1.1687","1.1633","1.1700","1.1623","","0.49%"
"11/23/2017","1.1630","1.1608","1.1645","1.1593","","0.22%"
"11/22/2017","1.1604","1.1637","1.1649","1.1584","","-0.28%"
"11/21/2017","1.1636","1.1658","1.1674","1.1616","","-0.16%"
"11/20/2017","1.1655","1.1656","1.1685","1.1589","","-0.01%"
"11/17/2017","1.1656","1.1702","1.1725","1.1654","","-0.35%"
"11/16/2017","1.1697","1.1654","1.1707","1.1639","","0.40%"
"11/15/2017","1.1650","1.1673","1.1692","1.1647","","-0.16%"
"11/14/2017","1.1669","1.1625","1.1679","1.1619","","0.42%"
