"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2018","131.61","131.64","131.78","130.91","","0.01%"
"03/06/2018","131.60","131.01","132.04","130.58","","0.47%"
"03/05/2018","130.99","130.37","131.04","129.35","","0.58%"
"03/02/2018","130.23","130.32","130.47","129.55","","-0.06%"
"03/01/2018","130.31","130.09","130.81","129.76","","0.20%"
"02/28/2018","130.05","131.30","131.54","130.04","","-0.92%"
"02/27/2018","131.26","131.72","132.22","131.25","","-0.33%"
"02/26/2018","131.69","131.45","131.95","131.07","","0.23%"
"02/23/2018","131.39","131.63","131.87","130.92","","-0.16%"
"02/22/2018","131.60","132.38","132.45","131.27","","-0.57%"
"02/21/2018","132.35","132.43","133.09","132.24","","-0.03%"
"02/20/2018","132.39","132.26","132.52","132.10","","0.11%"
"02/19/2018","132.25","131.94","132.39","131.80","","0.30%"
"02/16/2018","131.85","132.73","133.13","131.81","","-0.63%"
"02/15/2018","132.69","133.23","133.36","132.51","","-0.38%"
"02/14/2018","133.19","133.19","133.42","131.57","","0.02%"
"02/13/2018","133.16","133.57","133.82","132.51","","-0.28%"
"02/12/2018","133.53","133.32","133.67","132.88","","0.35%"
"02/09/2018","133.07","133.18","134.18","131.95","","-0.06%"
"02/08/2018","133.15","134.08","134.81","132.92","","-0.68%"
"02/07/2018","134.06","135.61","135.88","133.82","","-1.12%"
"02/06/2018","135.58","134.91","135.82","133.96","","0.50%"
"02/05/2018","134.91","137.21","137.23","134.89","","-1.65%"
"02/02/2018","137.17","136.87","137.53","136.64","","0.25%"
"02/01/2018","136.83","135.62","136.99","135.44","","0.90%"
"01/31/2018","135.61","134.90","136.08","134.84","","0.56%"
"01/30/2018","134.86","134.92","135.22","134.13","","-0.02%"
"01/29/2018","134.89","135.00","135.36","134.30","","-0.07%"
"01/26/2018","134.99","135.63","136.17","134.54","","-0.46%"
"01/25/2018","135.61","135.53","136.31","135.01","","0.09%"
"01/24/2018","135.49","135.66","135.72","134.91","","-0.11%"
"01/23/2018","135.64","136.02","136.23","135.18","","-0.25%"
"01/22/2018","135.98","135.89","136.17","135.33","","0.47%"
"01/19/2018","135.35","135.98","136.07","135.17","","-0.43%"
"01/18/2018","135.94","135.61","136.34","135.44","","0.27%"
"01/17/2018","135.57","135.43","136.01","135.13","","0.13%"
"01/16/2018","135.39","135.56","136.13","134.97","","-0.09%"
"01/15/2018","135.51","135.42","136.01","135.00","","0.16%"
"01/12/2018","135.29","133.87","135.40","133.81","","1.09%"
"01/11/2018","133.83","133.13","134.39","133.05","","0.56%"
"01/10/2018","133.09","134.48","134.57","133.07","","-1.00%"
"01/09/2018","134.44","135.35","135.49","134.04","","-0.64%"
"01/08/2018","135.30","136.04","136.34","135.11","","-0.51%"
"01/05/2018","135.99","136.06","136.79","135.99","","-0.04%"
"01/04/2018","136.04","135.18","136.39","135.11","","0.67%"
"01/03/2018","135.13","135.41","135.54","134.79","","-0.18%"
"01/02/2018","135.38","135.32","135.66","134.92","","0.09%"
"01/01/2018","135.26","135.25","135.33","135.14","","0.07%"
"12/29/2017","135.16","134.81","135.56","134.51","","0.28%"
"12/28/2017","134.78","134.76","134.99","134.43","","0.04%"
"12/27/2017","134.72","134.28","134.99","134.17","","0.34%"
"12/26/2017","134.26","134.43","134.59","134.20","","-0.11%"
"12/25/2017","134.41","134.20","134.62","134.18","","0.09%"
"12/22/2017","134.29","134.56","134.60","133.91","","-0.19%"
"12/21/2017","134.54","134.60","134.90","134.43","","-0.04%"
"12/20/2017","134.59","133.67","134.80","133.61","","0.72%"
"12/19/2017","133.63","132.59","133.95","132.58","","0.80%"
"12/18/2017","132.57","132.39","133.03","132.14","","0.21%"
"12/15/2017","132.29","132.38","132.76","132.03","","-0.05%"
"12/14/2017","132.35","133.09","133.78","132.22","","-0.54%"
"12/13/2017","133.07","133.32","133.39","132.81","","-0.16%"
"12/12/2017","133.28","133.65","133.78","133.00","","-0.25%"
"12/11/2017","133.61","133.56","133.91","133.45","","0.08%"
"12/08/2017","133.50","133.14","133.63","133.09","","0.31%"
"12/07/2017","133.09","132.45","133.32","132.39","","0.51%"
"12/06/2017","132.42","133.16","133.27","132.24","","-0.52%"
"12/05/2017","133.11","133.39","133.78","133.00","","-0.18%"
"12/04/2017","133.35","133.20","134.07","133.20","","0.05%"
"12/01/2017","133.28","133.96","134.40","132.87","","-0.48%"
"11/30/2017","133.92","132.60","134.16","132.54","","1.00%"
"11/29/2017","132.59","132.01","132.81","131.90","","0.46%"
"11/28/2017","131.98","132.18","132.59","131.70","","-0.13%"
"11/27/2017","132.15","133.10","133.25","132.06","","-0.68%"
"11/24/2017","133.06","131.81","133.26","131.73","","0.98%"
"11/23/2017","131.77","131.48","131.91","131.21","","0.25%"
"11/22/2017","131.44","131.99","132.10","131.39","","-0.39%"
"11/21/2017","131.96","132.13","132.30","131.56","","-0.11%"
"11/20/2017","132.11","132.16","132.49","131.16","","-0.04%"
"11/17/2017","132.16","133.09","133.18","132.04","","-0.67%"
"11/16/2017","133.05","133.10","133.49","132.75","","-0.01%"
"11/15/2017","133.06","133.85","133.92","132.95","","-0.56%"
"11/14/2017","133.81","132.57","133.88","132.47","","0.97%"
"11/13/2017","132.53","132.45","132.64","131.92","","0.09%"
"11/10/2017","132.41","132.10","132.57","131.93","","0.26%"
"11/09/2017","132.07","132.03","132.28","131.51","","0.05%"
"11/08/2017","132.01","132.11","132.20","131.39","","-0.05%"
"11/07/2017","132.07","132.01","132.43","131.83","","0.08%"
"11/06/2017","131.97","132.42","133.14","131.99","","-0.32%"
"11/03/2017","132.39","133.01","133.26","132.38","","-0.43%"
"11/02/2017","132.96","132.66","133.16","132.55","","0.26%"
"11/01/2017","132.61","132.34","132.85","132.31","","0.23%"
"10/31/2017","132.30","131.85","132.58","131.50","","0.36%"
