"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2018","10.2104","10.1802","10.2503","10.1748","","0.33%"
"03/06/2018","10.1767","10.1936","10.2105","10.1749","","-0.13%"
"03/05/2018","10.1903","10.1647","10.1969","10.1293","","0.32%"
"03/02/2018","10.1582","10.1199","10.2027","10.1118","","0.40%"
"03/01/2018","10.1173","10.1102","10.1268","10.0789","","0.11%"
"02/28/2018","10.1063","10.0626","10.1409","10.0533","","0.51%"
"02/27/2018","10.0546","10.0391","10.0961","10.0359","","0.18%"
"02/26/2018","10.0364","10.0536","10.0590","10.0178","","-0.10%"
"02/23/2018","10.0469","10.0065","10.0689","9.9957","","0.43%"
"02/22/2018","10.0042","9.9727","10.0219","9.9682","","0.38%"
"02/21/2018","9.9665","9.9896","9.9989","9.9584","","-0.20%"
"02/20/2018","9.9861","9.9078","9.9971","9.9019","","0.86%"
"02/19/2018","9.9007","9.8796","9.9208","9.8737","","0.19%"
"02/16/2018","9.8819","9.9163","9.9301","9.8773","","-0.32%"
"02/15/2018","9.9136","9.9048","9.9522","9.8896","","0.14%"
"02/14/2018","9.8995","9.9157","9.9688","9.8731","","-0.13%"
"02/13/2018","9.9122","9.9132","9.9531","9.9063","","0.02%"
"02/12/2018","9.9101","9.9074","9.9400","9.9016","","0.00%"
"02/09/2018","9.9103","9.9413","10.0039","9.9015","","-0.29%"
"02/08/2018","9.9394","9.9127","9.9684","9.8823","","0.29%"
"02/07/2018","9.9109","9.8410","9.9277","9.8356","","0.74%"
"02/06/2018","9.8378","9.8703","9.8913","9.8380","","-0.31%"
"02/05/2018","9.8680","9.8406","9.8834","9.8242","","0.21%"
"02/02/2018","9.8475","9.8079","9.8553","9.7968","","0.44%"
"02/01/2018","9.8048","9.7808","9.8227","9.7759","","0.22%"
"01/31/2018","9.7836","9.7861","9.7943","9.7430","","0.01%"
"01/30/2018","9.7827","9.7729","9.7996","9.7603","","0.14%"
"01/29/2018","9.7691","9.7804","9.7946","9.7465","","-0.09%"
"01/26/2018","9.7783","9.8202","9.8302","9.7662","","-0.41%"
"01/25/2018","9.8186","9.8359","9.8404","9.7925","","-0.14%"
"01/24/2018","9.8324","9.8479","9.8583","9.8187","","-0.12%"
"01/23/2018","9.8444","9.8345","9.8688","9.8249","","0.15%"
"01/22/2018","9.8292","9.8669","9.8738","9.8226","","0.02%"
"01/19/2018","9.8277","9.8139","9.8458","9.8065","","0.16%"
"01/18/2018","9.8121","9.8103","9.8420","9.8028","","0.06%"
"01/17/2018","9.8067","9.8560","9.8727","9.8057","","-0.47%"
"01/16/2018","9.8529","9.8270","9.8732","9.8142","","0.30%"
"01/15/2018","9.8231","9.8175","9.8603","9.8053","","0.19%"
"01/12/2018","9.8041","9.7849","9.8502","9.7637","","0.22%"
"01/11/2018","9.7823","9.7976","9.8274","9.7739","","-0.12%"
"01/10/2018","9.7942","9.8237","9.8381","9.7548","","-0.27%"
"01/09/2018","9.8208","9.8126","9.8435","9.8055","","0.12%"
"01/08/2018","9.8091","9.8031","9.8362","9.7953","","0.16%"
"01/05/2018","9.7938","9.8200","9.8534","9.7863","","-0.24%"
"01/04/2018","9.8177","9.8250","9.8357","9.8044","","-0.05%"
"01/03/2018","9.8223","9.8489","9.8633","9.8120","","-0.24%"
"01/02/2018","9.8463","9.8531","9.8648","9.8060","","-0.02%"
"01/01/2018","9.8480","9.8455","9.8543","9.8374","","0.09%"
"12/29/2017","9.8388","9.8478","9.8641","9.8118","","-0.06%"
"12/28/2017","9.8443","9.8384","9.8699","9.8306","","0.09%"
"12/27/2017","9.8353","9.9000","9.9222","9.8343","","-0.63%"
"12/26/2017","9.8978","9.8988","9.9299","9.8883","","0.00%"
"12/25/2017","9.8974","9.8652","9.9157","9.8643","","0.27%"
"12/22/2017","9.8708","9.9518","9.9605","9.8641","","-0.78%"
"12/21/2017","9.9479","9.9674","10.0016","9.9396","","-0.17%"
"12/20/2017","9.9644","9.9500","9.9811","9.8588","","0.18%"
"12/19/2017","9.9465","9.9393","9.9761","9.9308","","0.09%"
"12/18/2017","9.9372","9.9967","10.0053","9.9160","","-0.57%"
"12/15/2017","9.9946","9.9394","10.0314","9.9298","","0.58%"
"12/14/2017","9.9367","9.9503","9.9751","9.8769","","-0.10%"
"12/13/2017","9.9470","9.8872","9.9615","9.8798","","0.64%"
"12/12/2017","9.8838","10.0093","10.0342","9.8797","","-1.23%"
"12/11/2017","10.0067","9.9406","10.0347","9.9356","","0.71%"
"12/08/2017","9.9361","9.9901","10.0026","9.9375","","-0.49%"
"12/07/2017","9.9848","9.9509","10.0079","9.9342","","0.40%"
"12/06/2017","9.9455","9.8907","9.9598","9.8434","","0.57%"
"12/05/2017","9.8890","9.9909","10.0164","9.8714","","-0.99%"
"12/04/2017","9.9874","9.9322","9.9996","9.9151","","0.51%"
"12/01/2017","9.9371","9.9700","9.9995","9.9245","","-0.29%"
"11/30/2017","9.9665","9.9130","9.9757","9.9001","","0.56%"
"11/29/2017","9.9113","9.8876","9.9310","9.8659","","0.27%"
"11/28/2017","9.8850","9.8778","9.9161","9.8642","","0.11%"
"11/27/2017","9.8744","9.8768","9.9320","9.8670","","0.02%"
"11/24/2017","9.8726","9.8338","9.8908","9.8244","","0.43%"
"11/23/2017","9.8308","9.8575","9.8746","9.8251","","-0.24%"
"11/22/2017","9.8540","9.8944","9.9342","9.8451","","-0.38%"
"11/21/2017","9.8917","9.9546","10.0180","9.8861","","-0.61%"
"11/20/2017","9.9524","9.9310","9.9759","9.8928","","0.18%"
"11/17/2017","9.9341","9.8880","9.9751","9.8839","","0.50%"
"11/16/2017","9.8849","9.9398","9.9448","9.8741","","-0.52%"
"11/15/2017","9.9367","9.9046","9.9952","9.8984","","0.36%"
"11/14/2017","9.9009","9.7812","9.9291","9.7750","","1.26%"
"11/13/2017","9.7774","9.7403","9.7975","9.7401","","0.34%"
"11/10/2017","9.7444","9.7532","9.7600","9.7328","","-0.06%"
"11/09/2017","9.7506","9.7172","9.7579","9.7053","","0.37%"
"11/08/2017","9.7151","9.7308","9.7443","9.7145","","-0.13%"
"11/07/2017","9.7273","9.7502","9.7655","9.7180","","-0.21%"
"11/06/2017","9.7476","9.7922","9.8026","9.7409","","-0.40%"
"11/03/2017","9.7867","9.7867","9.8290","9.7750","","0.04%"
"11/02/2017","9.7828","9.7609","9.7970","9.7552","","0.26%"
"11/01/2017","9.7575","9.7563","9.7682","9.7363","","0.06%"
"10/31/2017","9.7521","9.7317","9.7612","9.7147","","0.24%"
"10/30/2017","9.7287","9.6894","9.7361","9.6844","","0.38%"
"10/27/2017","9.6920","9.7267","9.7531","9.6893","","-0.34%"
"10/26/2017","9.7250","9.7078","9.7476","9.6777","","0.20%"
"10/25/2017","9.7052","9.6684","9.7209","9.6630","","0.42%"
"10/24/2017","9.6650","9.6347","9.6779","9.6287","","0.35%"
"10/23/2017","9.6312","9.6075","9.6547","9.6038","","0.13%"
"10/20/2017","9.6183","9.6324","9.6521","9.6089","","-0.10%"
"10/19/2017","9.6282","9.5986","9.6621","9.5950","","0.33%"
"10/18/2017","9.5962","9.5916","9.6134","9.5826","","0.05%"
"10/17/2017","9.5912","9.5612","9.6055","9.5539","","0.35%"
"10/16/2017","9.5582","9.5967","9.6017","9.5538","","-0.36%"
"10/13/2017","9.5925","9.6130","9.6322","9.5792","","-0.18%"
"10/12/2017","9.6101","9.5456","9.6228","9.5220","","0.72%"
"10/11/2017","9.5410","9.5331","9.5532","9.5199","","0.12%"
"10/10/2017","9.5297","9.5389","9.5515","9.5161","","-0.07%"
"10/09/2017","9.5363","9.5224","9.5423","9.5145","","0.16%"
"10/06/2017","9.5212","9.5350","9.5548","9.5149","","-0.12%"
"10/05/2017","9.5324","9.5231","9.5431","9.5148","","0.12%"
"10/04/2017","9.5206","9.5566","9.5640","9.5124","","-0.34%"
"10/03/2017","9.5532","9.5852","9.5950","9.5494","","-0.31%"
"10/02/2017","9.5826","9.6245","9.6383","9.5784","","-0.41%"
"09/29/2017","9.6223","9.5623","9.6692","9.5567","","0.67%"
"09/28/2017","9.5585","9.5714","9.5996","9.5595","","-0.11%"
"09/27/2017","9.5692","9.5754","9.6092","9.5625","","-0.03%"
"09/26/2017","9.5724","9.5305","9.5989","9.5259","","0.48%"
"09/25/2017","9.5267","9.5429","9.5493","9.5087","","-0.09%"
"09/22/2017","9.5355","9.5195","9.5438","9.5149","","0.20%"
"09/21/2017","9.5165","9.5299","9.5378","9.5075","","-0.10%"
"09/20/2017","9.5265","9.5374","9.5487","9.5129","","-0.08%"
"09/19/2017","9.5340","9.5187","9.5462","9.5122","","0.20%"
"09/18/2017","9.5145","9.5183","9.5285","9.5009","","0.04%"
"09/15/2017","9.5108","9.5217","9.5364","9.4994","","-0.07%"
"09/14/2017","9.5178","9.5483","9.5597","9.5144","","-0.27%"
"09/13/2017","9.5437","9.5390","9.5652","9.5308","","0.08%"
